"","code","cdk_id"
"52","TB2","gtfs.line.1.tb2-0"
"53","TB1","gtfs.line.1.tb1-0"
"54","T1","gtfs.line.1.t1-0"
"55","SG-2","gtfs.line.1.sg2-1"
"56","SG-2","gtfs.line.1.sg2-0"
"57","SG-1","gtfs.line.1.sg1-1"
"58","SG-1","gtfs.line.1.sg1-0"
"59","HT5","gtfs.line.1.ht5-0"
"60","HT48","gtfs.line.1.ht48-1"
"61","HT48","gtfs.line.1.ht48-0"
"62","HT29","gtfs.line.1.ht29-1"
"63","HT29","gtfs.line.1.ht29-0"
"64","HT20","gtfs.line.1.ht20-1"
"65","HT20","gtfs.line.1.ht20-0"
"66","HT2","gtfs.line.1.ht2-1"
"67","HT2","gtfs.line.1.ht2-0"
"68","HT18","gtfs.line.1.ht18-1"
"69","HT18","gtfs.line.1.ht18-0"
"70","HT12","gtfs.line.1.ht12-1"
"71","HT12","gtfs.line.1.ht12-0"
"72","HT11","gtfs.line.1.ht11-1"
"73","HT11","gtfs.line.1.ht11-0"
"74","GZ2","gtfs.line.1.gz2-0"
"75","GZ1","gtfs.line.1.gz1-0"
"76","FB2","gtfs.line.1.fb2-0"
"77","FB1","gtfs.line.1.fb1-0"
"78","ER2","gtfs.line.1.er2-0"
"79","ER1","gtfs.line.1.er1-0"
"80","EM2","gtfs.line.1.em2-0"
"81","EM1","gtfs.line.1.em1-0"
"82","E-9","gtfs.line.1.e9-1"
"83","E-9","gtfs.line.1.e9-0"
"84","E-60","gtfs.line.1.e60-1"
"85","E-60","gtfs.line.1.e60-0"
"86","E-58","gtfs.line.1.e58-1"
"87","E-58","gtfs.line.1.e58-0"
"88","E-57","gtfs.line.1.e57-1"
"89","E-57","gtfs.line.1.e57-0"
"90","98İ","gtfs.line.1.98-0"
"91","98Y","gtfs.line.1.98y-1"
"92","98Y","gtfs.line.1.98y-0"
"93","98T","gtfs.line.1.98t-1"
"94","98T","gtfs.line.1.98t-0"
"95","98S","gtfs.line.1.98s-1"
"96","98S","gtfs.line.1.98s-0"
"97","98M","gtfs.line.1.98m-1"
"98","98M","gtfs.line.1.98m-0"
"99","98K","gtfs.line.1.98k-1"
"100","98K","gtfs.line.1.98k-0"
"101","98H","gtfs.line.1.98h-1"
"102","98H","gtfs.line.1.98h-0"
"103","98G","gtfs.line.1.98g-1"
"104","98G","gtfs.line.1.98g-0"
"105","98E","gtfs.line.1.98e-1"
"106","98E","gtfs.line.1.98e-0"
"107","98D","gtfs.line.1.98d-1"
"108","98D","gtfs.line.1.98d-0"
"109","98C","gtfs.line.1.98c-1"
"110","98C","gtfs.line.1.98c-0"
"111","98B","gtfs.line.1.98b-1"
"112","97T","gtfs.line.1.97t-1"
"113","97T","gtfs.line.1.97t-0"
"114","97M","gtfs.line.1.97m-1"
"115","97M","gtfs.line.1.97m-0"
"116","97G","gtfs.line.1.97g-1"
"117","97G","gtfs.line.1.97g-0"
"118","97E","gtfs.line.1.97e-0"
"119","97B","gtfs.line.1.97b-1"
"120","97B","gtfs.line.1.97b-0"
"121","97A","gtfs.line.1.97a-1"
"122","97A","gtfs.line.1.97a-0"
"123","97","gtfs.line.1.97-1"
"124","97","gtfs.line.1.97-0"
"125","96T","gtfs.line.1.96t-1"
"126","96T","gtfs.line.1.96t-0"
"127","94A","gtfs.line.1.94a-1"
"128","94A","gtfs.line.1.94a-0"
"129","94","gtfs.line.1.94-1"
"130","94","gtfs.line.1.94-0"
"131","93T","gtfs.line.1.93t-1"
"132","93T","gtfs.line.1.93t-0"
"133","93M","gtfs.line.1.93m-1"
"134","93M","gtfs.line.1.93m-0"
"135","93C","gtfs.line.1.93c-1"
"136","93C","gtfs.line.1.93c-0"
"137","93","gtfs.line.1.93-1"
"138","93","gtfs.line.1.93-0"
"139","92Ş","gtfs.line.1.92-1"
"140","92Ş","gtfs.line.1.92-0"
"141","92T","gtfs.line.1.92t-1"
"142","92T","gtfs.line.1.92t-0"
"143","92K","gtfs.line.1.92k-1"
"144","92K","gtfs.line.1.92k-0"
"145","92C","gtfs.line.1.92c-1"
"146","92C","gtfs.line.1.92c-0"
"147","91O","gtfs.line.1.91o-1"
"148","91O","gtfs.line.1.91o-0"
"149","91E","gtfs.line.1.91e-1"
"150","91E","gtfs.line.1.91e-0"
"151","90B","gtfs.line.1.90b-1"
"152","90B","gtfs.line.1.90b-0"
"153","90","gtfs.line.1.90-1"
"154","90","gtfs.line.1.90-0"
"155","8M","gtfs.line.1.8m-1"
"156","8M","gtfs.line.1.8m-0"
"157","8E","gtfs.line.1.8e-1"
"158","8E","gtfs.line.1.8e-0"
"159","8D","gtfs.line.1.8d-1"
"160","8D","gtfs.line.1.8d-0"
"161","8A","gtfs.line.1.8a-1"
"162","8A","gtfs.line.1.8a-0"
"163","89İ","gtfs.line.1.89-1"
"164","89İ","gtfs.line.1.89-0"
"165","89YB","gtfs.line.1.89yb-1"
"166","89YB","gtfs.line.1.89yb-0"
"167","89T","gtfs.line.1.89t-1"
"168","89T","gtfs.line.1.89t-0"
"169","89S","gtfs.line.1.89s-1"
"170","89S","gtfs.line.1.89s-0"
"171","89M","gtfs.line.1.89m-1"
"172","89M","gtfs.line.1.89m-0"
"173","89C","gtfs.line.1.89c-1"
"174","89C","gtfs.line.1.89c-0"
"175","89B","gtfs.line.1.89b-1"
"176","89B","gtfs.line.1.89b-0"
"177","89A","gtfs.line.1.89a-1"
"178","89A","gtfs.line.1.89a-0"
"179","88A","gtfs.line.1.88a-1"
"180","87","gtfs.line.1.87-1"
"181","87","gtfs.line.1.87-0"
"182","86V","gtfs.line.1.86v-1"
"183","86V","gtfs.line.1.86v-0"
"184","85T","gtfs.line.1.85t-1"
"185","85T","gtfs.line.1.85t-0"
"186","85C","gtfs.line.1.85c-1"
"187","83O","gtfs.line.1.83o-1"
"188","83O","gtfs.line.1.83o-0"
"189","83","gtfs.line.1.83-1"
"190","83","gtfs.line.1.83-0"
"191","82B","gtfs.line.1.82b-0"
