layer,code,name,cdk_id,type,clear_name,node_type
gtfs,BOS-ADA,5 ferry BOS-ADA,gtfs.line.5.bosada-1,ferry,,ptline
gtfs,KBT_KDY-ADA,5 ferry KBT_KDY-ADA,gtfs.line.5.kbt_kdyada-1,ferry,,ptline
gtfs,BOS-ADA,5 ferry BOS-ADA,gtfs.line.5.bosada-0,ferry,,ptline
gtfs,KBT-KDY-ADA,5 ferry KBT-KDY-ADA,gtfs.line.5.kbtkdyada-1,ferry,,ptline
gtfs,KBT-KDY-ADA,5 ferry KBT-KDY-ADA,gtfs.line.5.kbtkdyada-0,ferry,,ptline
gtfs,,5 ferry EMN - AKV,gtfs.line.5.emnakv-1,ferry,EMN - AKV,ptline
gtfs,,5 ferry EMN - AKV,gtfs.line.5.emnakv-0,ferry,EMN - AKV,ptline
gtfs,,5 ferry BYK - EMN,gtfs.line.5.bykemn-1,ferry,BYK - EMN,ptline
gtfs,,5 ferry EMN - AHS,gtfs.line.5.emnahs-0,ferry,EMN - AHS,ptline
gtfs,,5 ferry EMN - CNG,gtfs.line.5.emncng-0,ferry,EMN - CNG,ptline
gtfs,,5 ferry EMN - BYK,gtfs.line.5.emnbyk-0,ferry,EMN - BYK,ptline
gtfs,,5 ferry EMR - CNG,gtfs.line.5.emrcng-1,ferry,EMR - CNG,ptline
gtfs,,5 ferry KBT - BYK,gtfs.line.5.kbtbyk-0,ferry,KBT - BYK,ptline
gtfs,,5 ferry ARN - EMN,gtfs.line.5.arnemn-1,ferry,ARN - EMN,ptline
gtfs,,5 ferry AHS - EMN,gtfs.line.5.ahsemn-1,ferry,AHS - EMN,ptline
gtfs,,5 ferry CNG - EMN,gtfs.line.5.cngemn-1,ferry,CNG - EMN,ptline
gtfs,,5 ferry CNG - IST,gtfs.line.5.cngist-1,ferry,CNG - IST,ptline
gtfs,EMN-BYK,5 ferry EMN-BYK,gtfs.line.5.emnbyk-1,ferry,,ptline
gtfs,CNG-IST,5 ferry CNG-IST,gtfs.line.5.cngist-0,ferry,,ptline
gtfs,SRY-AKV,5 ferry SRY-AKV,gtfs.line.5.sryakv-1,ferry,,ptline
gtfs,SRY-AKV,5 ferry SRY-AKV,gtfs.line.5.sryakv-0,ferry,,ptline
gtfs,KCS-IST,5 ferry KCS-IST,gtfs.line.5.kcsist-0,ferry,,ptline
gtfs,KCS-BSK,5 ferry KCS-BSK,gtfs.line.5.kcsbsk-1,ferry,,ptline
gtfs,KRK-HYD,5 ferry KRK-HYD,gtfs.line.5.krkhyd-1,ferry,,ptline
gtfs,KRK-KDY,5 ferry KRK-KDY,gtfs.line.5.krkkdy-0,ferry,,ptline
gtfs,KDY-EMN,5 ferry KDY-EMN,gtfs.line.5.kdyemn-1,ferry,,ptline
gtfs,HLC,5 ferry HLC,gtfs.line.5.hlc-1,ferry,,ptline
gtfs,HLC,5 ferry HLC,gtfs.line.5.hlc-0,ferry,,ptline
gtfs,KDY-BSK,5 ferry KDY-BSK,gtfs.line.5.kdybsk-1,ferry,,ptline
gtfs,KDY-BSK,5 ferry KDY-BSK,gtfs.line.5.kdybsk-0,ferry,,ptline
gtfs,USK-BSK,5 ferry USK-BSK,gtfs.line.5.uskbsk-1,ferry,,ptline
gtfs,USK-BSK,5 ferry USK-BSK,gtfs.line.5.uskbsk-0,ferry,,ptline
gtfs,USK-EMN,5 ferry USK-EMN,gtfs.line.5.uskemn-1,ferry,,ptline
gtfs,USK-EMN,5 ferry USK-EMN,gtfs.line.5.uskemn-0,ferry,,ptline
gtfs,KRK-HYD,5 ferry KRK-HYD,gtfs.line.5.krkhyd-0,ferry,,ptline
gtfs,KRK-KDY,5 ferry KRK-KDY,gtfs.line.5.krkkdy-1,ferry,,ptline
gtfs,KDY-EMN,5 ferry KDY-EMN,gtfs.line.5.kdyemn-0,ferry,,ptline
gtfs,34Z,1 tram 34Z,gtfs.line.1.34z-1,tram,,ptline
gtfs,34Z,1 tram 34Z,gtfs.line.1.34z-0,tram,,ptline
gtfs,34T,1 tram 34T,gtfs.line.1.34t-1,tram,,ptline
gtfs,34T,1 tram 34T,gtfs.line.1.34t-0,tram,,ptline
gtfs,34G,1 tram 34G,gtfs.line.1.34g-1,tram,,ptline
gtfs,34G,1 tram 34G,gtfs.line.1.34g-0,tram,,ptline
gtfs,34C,1 tram 34C,gtfs.line.1.34c-1,tram,,ptline
gtfs,34C,1 tram 34C,gtfs.line.1.34c-0,tram,,ptline
gtfs,34B,1 tram 34B,gtfs.line.1.34b-1,tram,,ptline
gtfs,34B,1 tram 34B,gtfs.line.1.34b-0,tram,,ptline
gtfs,34A,1 tram 34A,gtfs.line.1.34a-1,tram,,ptline
gtfs,34A,1 tram 34A,gtfs.line.1.34a-0,tram,,ptline
gtfs,34,1 tram 34,gtfs.line.1.34-1,tram,,ptline
gtfs,34,1 tram 34,gtfs.line.1.34-0,tram,,ptline
gtfs,TB2,1 bus TB2,gtfs.line.1.tb2-0,bus,,ptline
gtfs,TB1,1 bus TB1,gtfs.line.1.tb1-0,bus,,ptline
gtfs,T1,1 bus T1,gtfs.line.1.t1-0,bus,,ptline
gtfs,SG-2,1 bus SG-2,gtfs.line.1.sg2-1,bus,,ptline
gtfs,SG-2,1 bus SG-2,gtfs.line.1.sg2-0,bus,,ptline
gtfs,SG-1,1 bus SG-1,gtfs.line.1.sg1-1,bus,,ptline
gtfs,SG-1,1 bus SG-1,gtfs.line.1.sg1-0,bus,,ptline
gtfs,HT5,1 bus HT5,gtfs.line.1.ht5-0,bus,,ptline
gtfs,HT48,1 bus HT48,gtfs.line.1.ht48-1,bus,,ptline
gtfs,HT48,1 bus HT48,gtfs.line.1.ht48-0,bus,,ptline
gtfs,HT29,1 bus HT29,gtfs.line.1.ht29-1,bus,,ptline
