stop_list,cdk_id
gtfs.stop.istb.188871;gtfs.stop.istb.189156;gtfs.stop.istb.184176;gtfs.stop.istb.183387;gtfs.stop.istb.183786;gtfs.stop.istb.183478;gtfs.stop.istb.191983;gtfs.stop.istb.191121;gtfs.stop.istb.191128;gtfs.stop.istb.191129;gtfs.stop.istb.191120;gtfs.stop.istb.191984;gtfs.stop.istb.183477;gtfs.stop.istb.193238;gtfs.stop.istb.184406;gtfs.stop.istb.184409;gtfs.stop.istb.184168;gtfs.stop.istb.184158;gtfs.stop.istb.184191;gtfs.stop.istb.189051,gtfs.line.1.tb2-0
gtfs.stop.istb.188871;gtfs.stop.istb.189156;gtfs.stop.istb.184176;gtfs.stop.istb.183387;gtfs.stop.istb.184410;gtfs.stop.istb.184158;gtfs.stop.istb.184191;gtfs.stop.istb.188259;gtfs.stop.istb.188268;gtfs.stop.istb.189142;gtfs.stop.istb.189143;gtfs.stop.istb.188269;gtfs.stop.istb.189052;gtfs.stop.istb.189209;gtfs.stop.istb.188372;gtfs.stop.istb.188376;gtfs.stop.istb.189160;gtfs.stop.istb.189003;gtfs.stop.istb.189001,gtfs.line.1.t1-0
gtfs.stop.istb.184157;gtfs.stop.istb.184901,gtfs.line.1.sg2-1
gtfs.stop.istb.188484;gtfs.stop.istb.189254;gtfs.stop.istb.189210;gtfs.stop.istb.188124;gtfs.stop.istb.188712;gtfs.stop.istb.189252;gtfs.stop.istb.188715;gtfs.stop.istb.189323;gtfs.stop.istb.189325;gtfs.stop.istb.188673;gtfs.stop.istb.188675;gtfs.stop.istb.189331;gtfs.stop.istb.189332;gtfs.stop.istb.188189;gtfs.stop.istb.188221;gtfs.stop.istb.188254;gtfs.stop.istb.188274;gtfs.stop.istb.188606;gtfs.stop.istb.188280;gtfs.stop.istb.188342,gtfs.line.1.ht5-0
gtfs.stop.istb.194017;gtfs.stop.istb.194404;gtfs.stop.istb.192828;gtfs.stop.istb.194402;gtfs.stop.istb.190138;gtfs.stop.istb.194398;gtfs.stop.istb.194396;gtfs.stop.istb.190258;gtfs.stop.istb.189765;gtfs.stop.istb.190876;gtfs.stop.istb.190874;gtfs.stop.istb.192988;gtfs.stop.istb.190872;gtfs.stop.istb.190862;gtfs.stop.istb.190860;gtfs.stop.istb.190497;gtfs.stop.istb.189861;gtfs.stop.istb.190498;gtfs.stop.istb.190499;gtfs.stop.istb.190500;gtfs.stop.istb.189697;gtfs.stop.istb.190852;gtfs.stop.istb.190442,gtfs.line.1.ht12-0
gtfs.stop.istb.185252;gtfs.stop.istb.192190;gtfs.stop.istb.192194;gtfs.stop.istb.186409;gtfs.stop.istb.192195;gtfs.stop.istb.192201;gtfs.stop.istb.192210;gtfs.stop.istb.192212;gtfs.stop.istb.185418;gtfs.stop.istb.186952;gtfs.stop.istb.184989;gtfs.stop.istb.187337;gtfs.stop.istb.184900;gtfs.stop.istb.184901,gtfs.line.1.sg1-1
gtfs.stop.istb.184901;gtfs.stop.istb.192621;gtfs.stop.istb.183454;gtfs.stop.istb.183854;gtfs.stop.istb.184157,gtfs.line.1.sg2-0
gtfs.stop.istb.184901;gtfs.stop.istb.184899;gtfs.stop.istb.187337;gtfs.stop.istb.184988;gtfs.stop.istb.186951;gtfs.stop.istb.185419;gtfs.stop.istb.192211;gtfs.stop.istb.192209;gtfs.stop.istb.192203;gtfs.stop.istb.192199;gtfs.stop.istb.186408;gtfs.stop.istb.192191;gtfs.stop.istb.185252,gtfs.line.1.sg1-0
gtfs.stop.istb.189615;gtfs.stop.istb.189441;gtfs.stop.istb.189647;gtfs.stop.istb.189444;gtfs.stop.istb.193164;gtfs.stop.istb.189826;gtfs.stop.istb.190226;gtfs.stop.istb.190530;gtfs.stop.istb.190486;gtfs.stop.istb.192868;gtfs.stop.istb.193856;gtfs.stop.istb.193858;gtfs.stop.istb.193860;gtfs.stop.istb.192866;gtfs.stop.istb.192864;gtfs.stop.istb.192862;gtfs.stop.istb.194443;gtfs.stop.istb.194437;gtfs.stop.istb.194435;gtfs.stop.istb.193642;gtfs.stop.istb.189850;gtfs.stop.istb.189844;gtfs.stop.istb.189848;gtfs.stop.istb.189846;gtfs.stop.istb.190378;gtfs.stop.istb.189842;gtfs.stop.istb.189840;gtfs.stop.istb.189838;gtfs.stop.istb.189836;gtfs.stop.istb.189828;gtfs.stop.istb.193683;gtfs.stop.istb.189755;gtfs.stop.istb.189752;gtfs.stop.istb.193893;gtfs.stop.istb.193895;gtfs.stop.istb.193897,gtfs.line.1.ht29-1
gtfs.stop.istb.188871;gtfs.stop.istb.189156;gtfs.stop.istb.184176;gtfs.stop.istb.183387;gtfs.stop.istb.184410;gtfs.stop.istb.184158;gtfs.stop.istb.184191;gtfs.stop.istb.188259;gtfs.stop.istb.188269;gtfs.stop.istb.189142;gtfs.stop.istb.189146;gtfs.stop.istb.189154;gtfs.stop.istb.184239;gtfs.stop.istb.184230;gtfs.stop.istb.184225;gtfs.stop.istb.184210;gtfs.stop.istb.184196;gtfs.stop.istb.189051,gtfs.line.1.tb1-0
gtfs.stop.istb.194232;gtfs.stop.istb.192900;gtfs.stop.istb.192902;gtfs.stop.istb.192904;gtfs.stop.istb.189673;gtfs.stop.istb.190515;gtfs.stop.istb.192931;gtfs.stop.istb.192929;gtfs.stop.istb.193069;gtfs.stop.istb.192933;gtfs.stop.istb.194072;gtfs.stop.istb.193995;gtfs.stop.istb.190924;gtfs.stop.istb.190928;gtfs.stop.istb.190929;gtfs.stop.istb.190932,gtfs.line.1.ht2-0
